"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"10-May-2023","EQ","4,593.05","4,634.00","4,577.00","4,593.05","4,613.00","4,601.30","4,607.26","4,901.95","3,361.55","2,93,523","1,35,23,38,091.05","24,963"
"09-May-2023","EQ","4,645.90","4,647.90","4,582.30","4,625.10","4,592.80","4,593.05","4,610.46","4,901.95","3,361.55","2,07,566","95,69,73,777.35","22,901"
"08-May-2023","EQ","4,611.00","4,660.00","4,585.00","4,602.50","4,634.75","4,625.10","4,631.69","4,901.95","3,361.55","2,74,255","1,27,02,64,439.00","25,623"
"05-May-2023","EQ","4,550.00","4,630.00","4,521.50","4,553.20","4,604.85","4,602.50","4,582.12","4,901.95","3,361.55","3,32,169","1,52,20,38,537.00","35,316"
"04-May-2023","EQ","4,510.00","4,569.90","4,500.00","4,515.45","4,553.00","4,553.20","4,538.27","4,901.95","3,361.55","3,91,146","1,77,51,24,595.65","27,733"
"03-May-2023","EQ","4,509.75","4,524.45","4,482.00","4,490.80","4,506.25","4,515.45","4,501.57","4,901.95","3,361.55","2,87,955","1,29,62,48,645.90","21,254"
"02-May-2023","EQ","4,529.75","4,573.30","4,476.90","4,513.70","4,482.30","4,490.80","4,511.58","4,901.95","3,361.55","3,84,900","1,73,65,07,722.90","41,344"
"28-Apr-2023","EQ","4,442.95","4,529.00","4,430.95","4,417.50","4,520.00","4,513.70","4,494.90","4,901.95","3,361.55","7,13,399","3,20,66,59,734.10","50,028"
"27-Apr-2023","EQ","4,419.85","4,438.50","4,365.05","4,410.40","4,425.00","4,417.50","4,398.32","4,901.95","3,361.55","4,00,508","1,76,15,62,970.55","36,521"
"26-Apr-2023","EQ","4,419.95","4,488.70","4,401.00","4,416.50","4,407.00","4,410.40","4,440.27","4,901.95","3,361.55","4,38,486","1,94,69,94,314.75","31,765"
"25-Apr-2023","EQ","4,409.95","4,446.25","4,383.10","4,399.05","4,414.00","4,416.50","4,417.10","4,901.95","3,361.55","2,52,655","1,11,60,01,910.60","19,694"
"24-Apr-2023","EQ","4,362.30","4,462.20","4,362.30","4,361.30","4,400.00","4,399.05","4,418.59","4,901.95","3,361.55","5,71,150","2,52,36,77,754.60","43,038"
"21-Apr-2023","EQ","4,340.00","4,428.00","4,318.45","4,348.40","4,360.00","4,361.30","4,383.39","4,903.65","3,361.55","4,85,292","2,12,72,22,798.05","41,077"
"20-Apr-2023","EQ","4,320.30","4,358.85","4,233.15","4,320.30","4,340.00","4,348.40","4,312.83","4,903.65","3,361.55","4,84,517","2,08,96,41,721.10","34,168"
"19-Apr-2023","EQ","4,355.00","4,355.00","4,221.55","4,338.65","4,309.75","4,320.30","4,289.09","4,903.65","3,361.55","5,17,278","2,21,86,49,350.00","44,082"
"18-Apr-2023","EQ","4,380.00","4,384.10","4,293.90","4,386.70","4,335.00","4,338.65","4,329.88","4,903.65","3,361.55","4,09,038","1,77,10,83,821.35","38,176"
"17-Apr-2023","EQ","4,410.00","4,448.40","4,340.00","4,398.30","4,384.50","4,386.70","4,383.36","4,903.65","3,361.55","3,34,963","1,46,82,61,948.40","35,469"
"13-Apr-2023","EQ","4,329.00","4,481.10","4,320.30","4,320.20","4,404.95","4,398.30","4,433.03","4,903.65","3,361.55","12,57,056","5,57,25,68,010.50","96,516"
